id,moreConnectionWithFamilyCloseFriendsOrRelatives,healthIssueDuringLockdown,,Does The Connection With Others Affect The Health Issue?,,,,,,
R195,TRUE,FALSE,,No,,,,,,
R196,FALSE,TRUE,,No,,,,,,
R197,TRUE,FALSE,,No,,,,,,
R198,TRUE,FALSE,,No,,,,,,
R199,FALSE,FALSE,,Yes,,,,,,
R200,FALSE,FALSE,,Yes,,,,,,
R201,TRUE,FALSE,,No,,,,,,
R202,TRUE,FALSE,,No,,,,,,
R203,TRUE,FALSE,,No,,,,,,
R204,TRUE,FALSE,,No,,,,,,
R205,FALSE,FALSE,,Yes,,,,,,
R206,TRUE,FALSE,,No,,,,,,
R207,TRUE,FALSE,,No,,,,,,
R208,FALSE,FALSE,,Yes,,,,,,
R209,TRUE,FALSE,,No,,,,,,
R210,FALSE,FALSE,,Yes,,,,,,
R211,TRUE,FALSE,,No,,,,,,
R212,FALSE,FALSE,,Yes,,,,,,
R214,FALSE,FALSE,,Yes,,,,,,
R215,FALSE,FALSE,,Yes,,,,,,
R216,TRUE,TRUE,,Yes,,,,,,
R217,TRUE,FALSE,,No,,,,,,
R218,FALSE,FALSE,,Yes,,,,,,
R219,FALSE,FALSE,,Yes,,,,,,
R220,FALSE,TRUE,,No,,,,,,
R221,TRUE,FALSE,,No,,,,,,
R222,FALSE,FALSE,,Yes,,,,,,
R223,FALSE,FALSE,,Yes,,,,,,
R224,TRUE,FALSE,,No,,,,,,
R225,TRUE,TRUE,,Yes,,,,,,
R226,TRUE,FALSE,,No,,,,,,
R227,TRUE,TRUE,,Yes,,,,,,
R228,FALSE,FALSE,,Yes,,,,,,
R229,TRUE,FALSE,,No,,,,,,
R230,TRUE,FALSE,,No,,,,,,
R231,FALSE,FALSE,,Yes,,,,,,
R232,FALSE,FALSE,,Yes,,,,,,
R233,TRUE,FALSE,,No,,,,,,
R234,TRUE,FALSE,,No,,,,,,
R235,TRUE,FALSE,,No,,,,,,
R236,TRUE,TRUE,,Yes,,,,,,
R237,TRUE,FALSE,,No,,,,,,
R238,TRUE,FALSE,,No,,,,,,
R239,TRUE,FALSE,,No,,,,,,
R240,FALSE,FALSE,,Yes,,,,,,
R241,TRUE,FALSE,,No,,,,,,
R242,TRUE,FALSE,,No,,,,,,
R243,TRUE,TRUE,,Yes,,,,,,
R244,TRUE,FALSE,,No,,,,,,
R245,TRUE,FALSE,,No,,,,,,
R246,TRUE,FALSE,,No,,,,,,
R247,FALSE,FALSE,,Yes,,,,,,
R249,TRUE,FALSE,,No,,,,,,
R250,FALSE,FALSE,,Yes,,,,,,
R251,TRUE,FALSE,,No,,,,,,
R252,TRUE,FALSE,,No,,,,,,
R253,TRUE,FALSE,,No,,,,,,
R254,FALSE,FALSE,,Yes,,,,,,
R255,TRUE,FALSE,,No,,,,,,
R256,TRUE,FALSE,,No,,,,,,
R257,TRUE,FALSE,,No,,,,,,
R258,FALSE,FALSE,,Yes,,,,,,
R259,TRUE,FALSE,,No,,,,,,
R260,FALSE,FALSE,,Yes,,,,,,
R261,TRUE,FALSE,,No,,,,,,
R262,TRUE,TRUE,,Yes,,,,,,
R263,FALSE,FALSE,,Yes,,,,,,
R264,FALSE,TRUE,,No,,,,,,
R265,TRUE,FALSE,,No,,,,,,
R266,TRUE,FALSE,,No,,,,,,
R267,FALSE,FALSE,,Yes,,,,,,
R268,TRUE,FALSE,,No,,,,,,
R269,TRUE,FALSE,,No,,,,,,
R270,TRUE,FALSE,,No,,,,,,
R271,TRUE,FALSE,,No,,,,,,
R272,FALSE,FALSE,,Yes,,,,,,
R273,TRUE,FALSE,,No,,,,,,
R274,TRUE,FALSE,,No,,,,,,
R275,TRUE,TRUE,,Yes,,,,,,
R276,TRUE,TRUE,,Yes,,,,,,
R278,TRUE,FALSE,,No,,,,,,
R279,TRUE,FALSE,,No,,,,,,
R280,TRUE,FALSE,,No,,,,,,
R281,TRUE,FALSE,,No,,,,,,
R282,FALSE,FALSE,,Yes,,,,,,
R283,FALSE,FALSE,,Yes,,,,,,
R285,FALSE,FALSE,,Yes,,,,,,
R286,TRUE,FALSE,,No,,,,,,
R287,TRUE,FALSE,,No,,,,,,
R288,FALSE,FALSE,,Yes,,,,,,
R289,FALSE,FALSE,,Yes,,,,,,
R290,FALSE,FALSE,,Yes,,,,,,
R291,TRUE,FALSE,,No,,,,,,
R292,TRUE,FALSE,,No,,,,,,
R293,FALSE,FALSE,,Yes,,,,,,
R294,FALSE,FALSE,,Yes,,,,,,
R295,TRUE,FALSE,,No,,,,,,
R296,FALSE,FALSE,,Yes,,,,,,
R297,TRUE,TRUE,,Yes,,,,,,
R298,TRUE,FALSE,,No,,,,,,
R299,TRUE,FALSE,,No,,,,,,
R301,FALSE,FALSE,,Yes,,,,,,
R302,TRUE,FALSE,,No,,,,,,
R303,TRUE,FALSE,,No,,,,,,
R304,FALSE,FALSE,,Yes,,,,,,
R305,TRUE,FALSE,,No,,,,,,
R306,TRUE,FALSE,,No,,,,,,
R307,FALSE,FALSE,,Yes,,,,,,
R308,FALSE,FALSE,,Yes,,,,,,
R309,TRUE,FALSE,,No,,,,,,
R310,TRUE,FALSE,,No,,,,,,
R311,FALSE,TRUE,,No,,,,,,
R312,FALSE,FALSE,,Yes,,,,,,
R313,TRUE,FALSE,,No,,,,,,
R314,FALSE,FALSE,,Yes,,,,,,
R315,FALSE,TRUE,,No,,,,,,
R316,FALSE,TRUE,,No,,,,,,
R317,FALSE,FALSE,,Yes,,,,,,
R318,TRUE,FALSE,,No,,,,,,
R320,FALSE,FALSE,,Yes,,,,,,
R321,TRUE,FALSE,,No,,,,,,
R322,FALSE,FALSE,,Yes,,,,,,
R323,TRUE,FALSE,,No,,,,,,
R324,FALSE,FALSE,,Yes,,,,,,
R325,FALSE,FALSE,,Yes,,,,,,
R326,TRUE,FALSE,,No,,,,,,
R327,TRUE,FALSE,,No,,,,,,
R328,TRUE,FALSE,,No,,,,,,
R329,FALSE,FALSE,,Yes,,,,,,
R330,FALSE,FALSE,,Yes,,,,,,
R331,TRUE,FALSE,,No,,,,,,
R332,TRUE,FALSE,,No,,,,,,
R333,FALSE,TRUE,,No,,,,,,
R334,FALSE,FALSE,,Yes,,,,,,
R335,FALSE,FALSE,,Yes,,,,,,
R336,TRUE,TRUE,,Yes,,,,,,
R337,TRUE,FALSE,,No,,,,,,
R338,FALSE,TRUE,,No,,,,,,
R339,FALSE,FALSE,,Yes,,,,,,
R340,TRUE,FALSE,,No,,,,,,
R341,FALSE,FALSE,,Yes,,,,,,
R342,TRUE,FALSE,,No,,,,,,
R343,TRUE,FALSE,,No,,,,,,
R344,TRUE,FALSE,,No,,,,,,
R345,TRUE,FALSE,,No,,,,,,
R346,TRUE,FALSE,,No,,,,,,
R347,TRUE,FALSE,,No,,,,,,
R348,TRUE,FALSE,,No,,,,,,
R349,TRUE,FALSE,,No,,,,,,
R350,FALSE,FALSE,,Yes,,,,,,
R351,TRUE,FALSE,,No,,,,,,
R352,TRUE,FALSE,,No,,,,,,
R353,TRUE,FALSE,,No,,,,,,
R354,TRUE,FALSE,,No,,,,,,
R355,TRUE,FALSE,,No,,,,,,
R356,TRUE,FALSE,,No,,,,,,
R357,TRUE,TRUE,,Yes,,,,,,
R358,TRUE,FALSE,,No,,,,,,
R359,TRUE,FALSE,,No,,,,,,
R360,TRUE,FALSE,,No,,,,,,
R361,TRUE,FALSE,,No,,,,,,
R362,FALSE,FALSE,,Yes,,,,,,
R363,TRUE,FALSE,,No,,,,,,
R364,FALSE,FALSE,,Yes,,,,,,
R365,TRUE,FALSE,,No,,,,,,
R366,FALSE,FALSE,,Yes,,,,,,
R367,TRUE,FALSE,,No,,,,,,
R368,TRUE,FALSE,,No,,,,,,
R369,FALSE,TRUE,,No,,,,,,
R370,TRUE,FALSE,,No,,,,,,
R371,TRUE,FALSE,,No,,,,,,
R372,FALSE,FALSE,,Yes,,,,,,
R373,TRUE,FALSE,,No,,,,,,
R374,FALSE,FALSE,,Yes,,,,,,
R375,TRUE,TRUE,,Yes,,,,,,
R376,TRUE,FALSE,,No,,,,,,
R377,TRUE,FALSE,,No,,,,,,
R378,TRUE,TRUE,,Yes,,,,,,
R379,TRUE,FALSE,,No,,,,,,
R380,TRUE,FALSE,,No,,,,,,
R381,TRUE,FALSE,,No,,,,,,
R382,TRUE,TRUE,,Yes,,,,,,
R383,TRUE,FALSE,,No,,,,,,
R384,TRUE,FALSE,,No,,,,,,
R385,FALSE,FALSE,,Yes,,,,,,
R386,TRUE,FALSE,,No,,,,,,
R387,FALSE,FALSE,,Yes,,,,,,
R388,FALSE,FALSE,,Yes,,,,,,
R389,TRUE,FALSE,,No,,,,,,
R390,TRUE,FALSE,,No,,,,,,
R391,TRUE,FALSE,,No,,,,,,
R392,TRUE,FALSE,,No,,,,,,
R393,TRUE,FALSE,,No,,,,,,
R394,TRUE,FALSE,,No,,,,,,
R395,FALSE,FALSE,,Yes,,,,,,
R396,TRUE,FALSE,,No,,,,,,
R397,FALSE,FALSE,,Yes,,,,,,
R398,TRUE,FALSE,,No,,,,,,
R399,TRUE,FALSE,,No,,,,,,
R400,TRUE,FALSE,,No,,,,,,
R401,TRUE,FALSE,,No,,,,,,
R402,TRUE,FALSE,,No,,,,,,
R403,TRUE,TRUE,,Yes,,,,,,
R404,TRUE,FALSE,,No,,,,,,
R405,TRUE,FALSE,,No,,,,,,
R406,TRUE,FALSE,,No,,,,,,
R407,TRUE,FALSE,,No,,,,,,
R408,TRUE,TRUE,,Yes,,,,,,
R409,TRUE,FALSE,,No,,,,,,
R410,TRUE,FALSE,,No,,,,,,
R411,TRUE,FALSE,,No,,,,,,
R412,FALSE,FALSE,,Yes,,,,,,
R413,TRUE,FALSE,,No,,,,,,
R414,TRUE,FALSE,,No,,,,,,
R415,TRUE,TRUE,,Yes,,,,,,
R416,TRUE,FALSE,,No,,,,,,
R417,FALSE,FALSE,,Yes,,,,,,
R418,TRUE,FALSE,,No,,,,,,
R419,TRUE,FALSE,,No,,,,,,
R420,TRUE,FALSE,,No,,,,,,
R421,TRUE,FALSE,,No,,,,,,
R422,TRUE,FALSE,,No,,,,,,
R423,TRUE,FALSE,,No,,,,,,
R424,FALSE,FALSE,,Yes,,,,,,
R425,TRUE,FALSE,,No,,,,,,
R426,TRUE,FALSE,,No,,,,,,
R427,TRUE,FALSE,,No,,,,,,
R428,TRUE,FALSE,,No,,,,,,
R429,FALSE,TRUE,,No,,,,,,
R430,TRUE,FALSE,,No,,,,,,
R431,TRUE,FALSE,,No,,,,,,
R432,TRUE,FALSE,,No,,,,,,
R433,FALSE,FALSE,,Yes,,,,,,
R434,TRUE,TRUE,,Yes,,,,,,
R435,TRUE,FALSE,,No,,,,,,
R436,FALSE,FALSE,,Yes,,,,,,
R437,TRUE,FALSE,,No,,,,,,
R438,TRUE,FALSE,,No,,,,,,
R439,FALSE,FALSE,,Yes,,,,,,
R440,TRUE,FALSE,,No,,,,,,
R441,FALSE,FALSE,,Yes,,,,,,
R442,TRUE,FALSE,,No,,,,,,
R443,TRUE,TRUE,,Yes,,,,,,
R444,FALSE,TRUE,,No,,,,,,
R445,TRUE,FALSE,,No,,,,,,
R446,FALSE,FALSE,,Yes,,,,,,
R447,TRUE,FALSE,,No,,,,,,
R448,TRUE,TRUE,,Yes,,,,,,
R449,TRUE,FALSE,,No,,,,,,
R450,FALSE,FALSE,,Yes,,,,,,
R451,TRUE,FALSE,,No,,,,,,
R452,TRUE,FALSE,,No,,,,,,
R453,TRUE,FALSE,,No,,,,,,
R454,TRUE,FALSE,,No,,,,,,
R455,TRUE,FALSE,,No,,,,,,
R456,TRUE,FALSE,,No,,,,,,
R457,FALSE,FALSE,,Yes,,,,,,
R458,FALSE,FALSE,,Yes,,,,,,
R459,TRUE,FALSE,,No,,,,,,
R460,FALSE,FALSE,,Yes,,,,,,
R461,TRUE,FALSE,,No,,,,,,
R462,FALSE,FALSE,,Yes,,,,,,
R463,TRUE,FALSE,,No,,,,,,
R464,TRUE,TRUE,,Yes,,,,,,
R465,TRUE,FALSE,,No,,,,,,
R466,TRUE,FALSE,,No,,,,,,
R467,TRUE,FALSE,,No,,,,,,
R468,TRUE,FALSE,,No,,,,,,
R469,TRUE,FALSE,,No,,,,,,
R470,FALSE,TRUE,,No,,,,,,
R471,TRUE,FALSE,,No,,,,,,
R472,TRUE,FALSE,,No,,,,,,
R473,TRUE,FALSE,,No,,,,,,
R474,TRUE,FALSE,,No,,,,,,
R475,FALSE,FALSE,,Yes,,,,,,
R476,TRUE,FALSE,,No,,,,,,
R477,TRUE,FALSE,,No,,,,,,
R478,TRUE,FALSE,,No,,,,,,
R479,FALSE,FALSE,,Yes,,,,,,
R480,TRUE,FALSE,,No,,,,,,
R481,TRUE,FALSE,,No,,,,,,
R482,TRUE,FALSE,,No,,,,,,
R483,TRUE,TRUE,,Yes,,,,,,
R484,FALSE,FALSE,,Yes,,,,,,
R485,TRUE,TRUE,,Yes,,,,,,
R486,TRUE,FALSE,,No,,,,,,
R487,FALSE,FALSE,,Yes,,,,,,
R488,TRUE,FALSE,,No,,,,,,
R489,FALSE,TRUE,,No,,,,,,
R490,FALSE,FALSE,,Yes,,,,,,
R491,FALSE,FALSE,,Yes,,,,,,
R492,FALSE,FALSE,,Yes,,,,,,
R493,TRUE,FALSE,,No,,,,,,
R494,TRUE,FALSE,,No,,,,,,
R495,TRUE,FALSE,,No,,,,,,
R496,TRUE,FALSE,,No,,,,,,
R497,TRUE,FALSE,,No,,,,,,
R498,TRUE,FALSE,,No,,,,,,
R499,FALSE,TRUE,,No,,,,,,
R500,FALSE,FALSE,,Yes,,,,,,
R501,FALSE,FALSE,,Yes,,,,,,
R502,TRUE,FALSE,,No,,,,,,
R503,TRUE,FALSE,,No,,,,,,
R504,TRUE,FALSE,,No,,,,,,
R505,TRUE,FALSE,,No,,,,,,
R506,TRUE,FALSE,,No,,,,,,
R507,FALSE,FALSE,,Yes,,,,,,
R508,TRUE,FALSE,,No,,,,,,
R509,FALSE,FALSE,,Yes,,,,,,
R510,FALSE,FALSE,,Yes,,,,,,
R511,TRUE,FALSE,,No,,,,,,
R512,TRUE,FALSE,,No,,,,,,
R513,TRUE,FALSE,,No,,,,,,
R514,TRUE,FALSE,,No,,,,,,
R515,FALSE,FALSE,,Yes,,,,,,
R516,TRUE,FALSE,,No,,,,,,
R517,TRUE,FALSE,,No,,,,,,
R518,TRUE,FALSE,,No,,,,,,
R519,TRUE,FALSE,,No,,,,,,
R520,TRUE,FALSE,,No,,,,,,
R521,TRUE,FALSE,,No,,,,,,
R522,TRUE,FALSE,,No,,,,,,
R523,TRUE,FALSE,,No,,,,,,
R524,FALSE,FALSE,,Yes,,,,,,
R525,FALSE,FALSE,,Yes,,,,,,
R526,TRUE,TRUE,,Yes,,,,,,
R527,FALSE,TRUE,,No,,,,,,
R528,TRUE,FALSE,,No,,,,,,
R529,FALSE,FALSE,,Yes,,,,,,
R530,FALSE,TRUE,,No,,,,,,
R531,FALSE,FALSE,,Yes,,,,,,
R532,TRUE,FALSE,,No,,,,,,
R533,TRUE,FALSE,,No,,,,,,
