id,timeSpentOnOnlineClass,timeSpentOnSelfStudy,timeSpentOnOnlineClass&SelfStudy,,timeSpentOnSocialMedia,timeSpentOnTv,timeSpentOnSocialMedia&Tv,,,,The Difference Between The Time Spent On Study And Leisure Activities
R306,5,5,10,,1,2,3,,,,7
R307,2,8,10,,2,1,3,,,,7
R308,4,1,5,,4,1,5,,,,0
R309,0,1,1,,4,0,4,,,,-3
R310,3,3,6,,2,2,4,,,,2
R311,1,3,4,,1,0,1,,,,3
R312,3,4,7,,3,4,7,,,,0
R313,3,6,9,,3,1,4,,,,5
R314,4,3,7,,4,0,4,,,,3
R315,1,3,4,,1,2,3,,,,1
R316,5,3,8,,6,1,7,,,,1
R317,2,5,7,,4,0,4,,,,3
R318,4,2,6,,1,0.1,1.1,,,,4.9
R320,8,2,10,,0.5,2,2.5,,,,7.5
R321,1,4,5,,6,4,10,,,,-5
R322,5,2,7,,2,1,3,,,,4
R323,0,0,0,,6,0,6,,,,-6
R324,3,0,3,,5,0,5,,,,-2
R325,2,2,4,,2,0.25,2.25,,,,1.75
R326,1,3,4,,2,1,3,,,,1
R327,0,1,1,,1,2,3,,,,-2
R328,6,6,12,,3,0,3,,,,9
R329,4,2,6,,2,1,3,,,,3
R330,0,2,2,,5,1,6,,,,-4
R331,5,2,7,,0.5,1,1.5,,,,5.5
R332,6,4,10,,1,0,1,,,,9
R333,0,2,2,,1,0,1,,,,1
R334,2,2,4,,1,4,5,,,,-1
R335,1,0,1,,10,2,12,,,,-11
R336,2,2,4,,2,1,3,,,,1
R337,5,2.3,7.3,,2,3,5,,,,2.3
R338,1,2,3,,3,3,6,,,,-3
R339,2,2.5,4.5,,2,1,3,,,,1.5
R340,4,1,5,,1,1,2,,,,3
R341,8,6,14,,1,0,1,,,,13
R342,2,0,2,,2,0.5,2.5,,,,-0.5
R343,4,10,14,,1,1,2,,,,12
R344,1,10,11,,2,0,2,,,,9
R345,3,3,6,,1,2,3,,,,3
R346,0,5,5,,2,1,3,,,,2
R347,4,4,8,,1,1,2,,,,6
R348,2,4,6,,2,0,2,,,,4
R349,5,2,7,,1,1,2,,,,5
R350,2,1,3,,3,0,3,,,,0
R351,1.5,2,3.5,,1,0.5,1.5,,,,2
R352,4,2,6,,1,3,4,,,,2
R353,0.5,2,2.5,,1,0,1,,,,1.5
R354,3,3,6,,2,0,2,,,,4
R355,5,3,8,,3,2,5,,,,3
R356,2,3,5,,2,1,3,,,,2
R357,0.75,5,5.75,,2,2,4,,,,1.75
R358,1,2,3,,2,1,3,,,,0
R359,1,2,3,,2,3,5,,,,-2
R360,7,8,15,,1,1,2,,,,13
R361,2.5,1,3.5,,2,1,3,,,,0.5
R362,4,5,9,,2,2,4,,,,5
R363,2,1,3,,3,2,5,,,,-2
R364,0,2,2,,3,0,3,,,,-1
R365,6,0,6,,4,1,5,,,,1
R366,4,2,6,,1,1,2,,,,4
R367,5,1,6,,2,0,2,,,,4
R368,1,5,6,,2,2,4,,,,2
R369,3,0,3,,3,0,3,,,,0
R370,6,2.5,8.5,,0,0.5,0.5,,,,8
R371,3,3,6,,2,0,2,,,,4
R372,1,2,3,,0,4,4,,,,-1
R373,1,2.5,3.5,,4,1,5,,,,-1.5
R374,0.5,2,2.5,,2,0,2,,,,0.5
R375,2,1,3,,1,2,3,,,,0
R376,1,2,3,,4,0,4,,,,-1
R377,1,1.2,2.2,,0,2,2,,,,0.2
R378,3,2,5,,4,0,4,,,,1
R379,1,2,3,,2,2,4,,,,-1
R380,3,3,6,,2,0,2,,,,4
R381,4,3,7,,1,0.5,1.5,,,,5.5
R382,3,4,7,,4,0.5,4.5,,,,2.5
R383,0,4,4,,2,2,4,,,,0
R384,2,1,3,,1,1,2,,,,1
R385,3,2,5,,2,3,5,,,,0
R386,1,1,2,,1,1,2,,,,0
R387,4,2,6,,2,1,3,,,,3
R388,0,0,0,,2,2,4,,,,-4
R389,4,4,8,,2,1,3,,,,5
R390,4,3,7,,2,5,7,,,,0
R391,3,1,4,,2,3,5,,,,-1
R392,2,2,4,,1,1,2,,,,2
R393,2,3,5,,2,2,4,,,,1
R394,1,1,2,,4,0,4,,,,-2
R395,1,2,3,,4,5,9,,,,-6
R396,5,3,8,,1,2,3,,,,5
R397,1,4,5,,3,0,3,,,,2
R398,3,4,7,,2,0.5,2.5,,,,4.5
R399,0.75,2,2.75,,4,0,4,,,,-1.25
R400,4,2,6,,1,0,1,,,,5
R401,2,5,7,,4,4,8,,,,-1
R402,3,2,5,,1,0,1,,,,4
R403,0,4,4,,4,2,6,,,,-2
R404,3,2,5,,1,1,2,,,,3
R405,2,1,3,,3,2,5,,,,-2
R406,1,1,2,,2,1,3,,,,-1
R407,7,1,8,,1,0,1,,,,7
R408,2,1,3,,2,0,2,,,,1
R409,1,2,3,,3,0.5,3.5,,,,-0.5
R410,2,4,6,,2,0,2,,,,4
R411,0,2,2,,6,6,12,,,,-10
R412,1,0,1,,2,0,2,,,,-1
R413,5,3,8,,4,0,4,,,,4
R414,4,1,5,,5,0.3,5.3,,,,-0.3
R415,3,2,5,,1,0,1,,,,4
R416,1,3,4,,1,0,1,,,,3
R417,1,1,2,,0,1,1,,,,1
R418,5,1,6,,1,4.5,5.5,,,,0.5
R419,2,3,5,,5,3,8,,,,-3
R420,2,2,4,,1,2,3,,,,1
R421,2,1,3,,1,1,2,,,,1
R422,2,1,3,,2,2,4,,,,-1
R423,8,10,18,,1,0,1,,,,17
R424,0,3,3,,3,0,3,,,,0
R425,2,2,4,,3,0,3,,,,1
R426,1,3,4,,3,2,5,,,,-1
R427,3,0,3,,4,4,8,,,,-5
R428,1,3,4,,1,1,2,,,,2
R429,0,1,1,,6,1,7,,,,-6
R430,2,3,5,,3,1,4,,,,1
R431,1,0,1,,2,2,4,,,,-3
R432,4,4,8,,2,0,2,,,,6
R433,2,0,2,,5,5,10,,,,-8
R434,2,2,4,,2,2,4,,,,0
R435,5,3,8,,3,1,4,,,,4
R436,1,0,1,,8,0,8,,,,-7
R437,3,1,4,,1,2,3,,,,1
R438,3,2,5,,2,0.5,2.5,,,,2.5
R439,7,3,10,,0,1,1,,,,9
R440,1,2,3,,1,0,1,,,,2
R441,2,2,4,,2,1,3,,,,1
R442,0.7,3.5,4.2,,3,0.6,3.6,,,,0.6
R443,2,2,4,,2,0.5,2.5,,,,1.5
R444,2,1,3,,2,3,5,,,,-2
R445,3,4,7,,2,0,2,,,,5
R446,0,2,2,,2,7,9,,,,-7
R447,3,5,8,,3,3,6,,,,2
R448,0,2,2,,5,0,5,,,,-3
R449,3,2,5,,3,0,3,,,,2
R450,0.75,2,2.75,,1,0,1,,,,1.75
R451,3,3,6,,1,0.5,1.5,,,,4.5
R452,6,3,9,,1,1,2,,,,7
R453,4,2,6,,0.5,1,1.5,,,,4.5
R454,3,4,7,,2,1,3,,,,4
R455,0,0,0,,1,4,5,,,,-5
R456,4,6,10,,0,0,0,,,,10
R457,0,9,9,,2,0,2,,,,7
R458,6,4,10,,1,0,1,,,,9
R459,2,4,6,,8,1,9,,,,-3
R460,7,2,9,,4,3,7,,,,2
R461,0,5,5,,4,0,4,,,,1
R462,4,2,6,,2,0,2,,,,4
R463,0,0.5,0.5,,1,0.5,1.5,,,,-1
R464,2,3,5,,2,1,3,,,,2
R465,2,4,6,,8,1,9,,,,-3
R466,4,2,6,,2,2,4,,,,2
R467,1,3,4,,3,3,6,,,,-2
R468,1,0,1,,2,1,3,,,,-2
R469,2,6,8,,0.5,0,0.5,,,,7.5
R470,2,1,3,,6,7,13,,,,-10
R471,5,7,12,,1,0,1,,,,11
R472,0,10,10,,2,0,2,,,,8
R473,4,5,9,,2,0,2,,,,7
R474,4,0,4,,6,1,7,,,,-3
R475,0,3,3,,3,1,4,,,,-1
R476,2,2,4,,1,2,3,,,,1
R477,2,0,2,,3,0,3,,,,-1
R478,4,10,14,,1,0,1,,,,13
R479,5,2,7,,4,0,4,,,,3
R480,4,4,8,,4,3,7,,,,1
R481,4,3,7,,3,2,5,,,,2
R482,4,2,6,,2,0,2,,,,4
R483,4,1,5,,4,1,5,,,,0
R484,4,0,4,,10,0,10,,,,-6
R485,6,6,12,,1,0.5,1.5,,,,10.5
R486,6,6,12,,1,0,1,,,,11
R487,2,3,5,,3,2,5,,,,0
R488,0,1,1,,1,0,1,,,,0
R489,2,2,4,,1,1,2,,,,2
R490,3,7,10,,1,0,1,,,,9
R491,2,6,8,,3,0.5,3.5,,,,4.5
R492,4,4,8,,2,0,2,,,,6
R493,2,2,4,,4,0,4,,,,0
R494,5,2,7,,3,0,3,,,,4
R495,5,6,11,,2,0.5,2.5,,,,8.5
R496,3,6,9,,3,0,3,,,,6
R497,5,0,5,,4,0,4,,,,1
R498,7,0,7,,2,1,3,,,,4
R499,0.5,3,3.5,,3,2,5,,,,-1.5
R500,0,8,8,,0,0,0,,,,8
R501,0.5,1,1.5,,3,0,3,,,,-1.5
R502,4,1,5,,2,0,2,,,,3
R503,3,2,5,,2,0,2,,,,3
R504,3,2,5,,2,0,2,,,,3
R505,4,2,6,,1,2,3,,,,3
R506,4,2,6,,1,0,1,,,,5
R507,2,3,5,,1,1,2,,,,3
R508,1,2,3,,2,0,2,,,,1
R509,4,0,4,,2,2,4,,,,0
R510,0,2,2,,4,0,4,,,,-2
R511,0,1,1,,4,0,4,,,,-3
R512,0,4,4,,2,4,6,,,,-2
R513,4,3,7,,2,1,3,,,,4
R514,2,2,4,,6,8,14,,,,-10
R515,2,3,5,,5,6,11,,,,-6
R516,2,5,7,,1,0.5,1.5,,,,5.5
R517,1,1,2,,3,1,4,,,,-2
R518,2,3,5,,3,1,4,,,,1
R519,1,2,3,,1,1,2,,,,1
R520,4,5,9,,3,2,5,,,,4
R521,6,5,11,,10,15,25,,,,-14
R522,3,4,7,,2,2,4,,,,3
R523,4,3,7,,4,2,6,,,,1
R524,0,1,1,,6,0,6,,,,-5
R525,3,3,6,,2,0,2,,,,4
R526,0,0,0,,7,1,8,,,,-8
R527,1,8,9,,2,1,3,,,,6
R528,2,1,3,,6,6,12,,,,-9
R529,4,4,8,,1,2,3,,,,5
R530,2,0,2,,2,1,3,,,,-1
R531,0,1,1,,6,3,9,,,,-8
R532,6,4,10,,9,0.5,9.5,,,,0.5
R533,2,1,3,,4,0,4,,,,-1
R534,0,1,1,,0.5,0.5,1,,,,0
R535,3,6,9,,4,1,5,,,,4
R536,6,2,8,,1,0,1,,,,7
R537,4,2,6,,4,4,8,,,,-2
R538,3,2,5,,1,1,2,,,,3
R539,5,6,11,,2,0,2,,,,9
R540,2,2,4,,2,1,3,,,,1
R541,3,4,7,,1,1,2,,,,5
R542,1,2,3,,2,2,4,,,,-1
R543,3,6,9,,3,2,5,,,,4
R544,1,4,5,,4,0,4,,,,1
R545,5,2,7,,1,2,3,,,,4
R546,4,4,8,,2,2,4,,,,4
R547,1,2,3,,1,2,3,,,,0
R548,2,0,2,,10,1,11,,,,-9
R549,2,2,4,,3,0,3,,,,1
R550,7,4,11,,1,0,1,,,,10
R551,0,8,8,,2,0.5,2.5,,,,5.5
R552,4,3,7,,5,0,5,,,,2
R553,5,2,7,,0,0,0,,,,7
R554,2,1,3,,1,0,1,,,,2
R555,6,2,8,,1.5,1.5,3,,,,5
R556,2,2,4,,2,1,3,,,,1
R557,3,2,5,,1,1,2,,,,3
R558,4,4,8,,1,2,3,,,,5
R559,0.5,1,1.5,,1,1,2,,,,-0.5
R560,0,2,2,,6,0,6,,,,-4
R561,1,1,2,,1,2,3,,,,-1
